"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"MRTO4",-1.45893666666667,9.80339833333333,-21.1360868078861,2.72969584718047e-10,2.88280205528552e-08,14.243696817866
"GAB1",1.52775666666667,9.732655,21.1333707554483,2.73349012441146e-10,2.88280205528552e-08,14.2422739326557
"SMIM14",1.78348666666667,9.04260666666667,21.1232273100737,2.74771117002995e-10,2.88280205528552e-08,14.2369582610445
"ATAD5",-1.714,8.65856333333333,-21.1197092217182,2.75266229882443e-10,2.88280205528552e-08,14.2351139713754
"ZC3H6",1.80535,7.69050833333333,21.072801960772,2.81961264953379e-10,2.93660320753378e-08,14.2104924059047
"HPGD",2.03651,7.45412833333333,21.0334863184419,2.87709363212701e-10,2.94081437299117e-08,14.18981063936
"FGF1",1.95964333333333,8.39425833333333,21.0330992970037,2.87766577315451e-10,2.94081437299117e-08,14.1896068443471
"TSHZ2",1.72787,7.23450166666667,21.0306430901878,2.88129971760886e-10,2.94081437299117e-08,14.1883133792181
"ERRFI1",-1.46906666666666,11.4688333333333,-21.0230541132076,2.8925591590805e-10,2.94081437299117e-08,14.1843159250266
"NIBAN1",1.80864,10.7703133333333,21.0169451250522,2.9016575957581e-10,2.94081437299117e-08,14.1810969307554
"SSBP2",1.5377,11.58955,20.9987403154333,2.9289561915214e-10,2.95260712119625e-08,14.1714984036652
"H1-1",-1.93511666666667,9.630075,-20.9515736474915,3.00099287535705e-10,3.00913386666786e-08,14.1465884118515
"MCM5",-1.68355,9.781225,-20.8300358840058,3.19565691725695e-10,3.1873718808048e-08,14.0821252130535
"RAD51",-2.32916,9.02631,-20.7622835258438,3.31010788394097e-10,3.2841496694827e-08,14.0460159227854
"CACNA1D",1.48747333333333,8.30032,20.7096865592419,3.40203348223727e-10,3.35768236511282e-08,14.0178975346106
"ALCAM",1.4252,10.9208,20.6295754799975,3.5474286250892e-10,3.47902141747708e-08,13.9749242797385
"MCM6",-1.72634,9.22223,-20.6218056283624,3.56188601969697e-10,3.47902141747708e-08,13.9707469675177
"HECW2",1.51310333333333,7.227305,20.598870611858,3.6049365951761e-10,3.50026746722917e-08,13.9584066672898
